category,name,price,unit_price
Frukt og grønt,Røde Appelsiner,"kr 46,80","kr 46,80 /kg"
Frukt og grønt,Rød/Gule Plommer,"kr 52,00","kr 104,00 /kg"
Frukt og grønt,Økologiske Klementiner,"kr 34,90","kr 69,80 /kg"
Frukt og grønt,Persimon/Kaki,"kr 29,70","kr 37,13 /kg"
Frukt og grønt,Honningmelon Skivet,"kr 32,90","kr 164,50 /kg"
Frukt og grønt,Cantaloupemelon i Skiver,"kr 34,20","kr 171,00 /kg"
Frukt og grønt,Blåbær i kurv,"kr 24,90","kr 199,20 /kg"
Frukt og grønt,Bringebær,"kr 44,90","kr 359,20 /kg"
Frukt og grønt,Blåbær,"kr 42,90","kr 190,67 /kg"
Frukt og grønt,Bjørnebær,"kr 54,90","kr 439,20 /kg"
Frukt og grønt,Rips,"kr 69,80","kr 558,40 /kg"
Frukt og grønt,Jordbær,"kr 99,00","kr 247,50 /kg"
Frukt og grønt,Crispisalat,"kr 34,50","kr 34,50 /stk"
Frukt og grønt,Spinat Uvasket,"kr 39,30","kr 157,20 /kg"
Frukt og grønt,Ruccula,"kr 23,00","kr 328,57 /kg"
Frukt og grønt,Stor Spiseklar Crispisalat,"kr 42,90","kr 238,33 /kg"
Frukt og grønt,Stor Isbergsalat,"kr 24,90","kr 24,90 /stk"
Frukt og grønt,Babyleaf Salatblanding,"kr 30,90","kr 309,00 /kg"
Frukt og grønt,Crispy Minigulrøtter,"kr 19,90","kr 113,71 /kg"
Frukt og grønt,Liten Kålrot,"kr 12,50","kr 25,00 /kg"
Frukt og grønt,Stor Agurk,"kr 33,90","kr 33,90 /stk"
Frukt og grønt,Avokado modnet,"kr 30,00","kr 93,75 /kg"
Frukt og grønt,Knoll Langpanne Poteter,"kr 20,93",N/A
Frukt og grønt,Rødløk Strømpe,"kr 18,50","kr 49,33 /kg"
Frukt og grønt,Økologisk Avokado,"kr 49,90","kr 191,92 /kg"
Frukt og grønt,Økologiske Cherrytomater,"kr 47,90","kr 191,60 /kg"
Frukt og grønt,Økologiske Klasetomater,"kr 49,90","kr 99,80 /kg"
Frukt og grønt,Økologisk Brokkoli,"kr 24,90","kr 24,90 /stk"
Frukt og grønt,Økologiske Gulrøtter,"kr 41,30","kr 55,07 /kg"
Frukt og grønt,Økologisk Blomkål,"kr 51,40","kr 51,40 /stk"
Frukt og grønt,Fersk Basilikum,"kr 24,90","kr 1 245,00 /kg"
Frukt og grønt,Fersk Koriander,"kr 24,40","kr 1 220,00 /kg"
Frukt og grønt,Fersk Kruspersille,"kr 18,90","kr 945,00 /kg"
Frukt og grønt,Fersk Gressløk,"kr 21,40","kr 1 070,00 /kg"
Frukt og grønt,Fersk Bladpersille,"kr 18,90","kr 945,00 /kg"
Frukt og grønt,Fersk Kjørvel,"kr 22,90","kr 1 145,00 /kg"
Frukt og grønt,Sesamfrø,"kr 31,90","kr 106,33 /kg"
Frukt og grønt,Gresskarkjerner,"kr 36,00","kr 120,00 /kg"
Frukt og grønt,Solsikkekjerner,"kr 24,00","kr 80,00 /kg"
Frukt og grønt,Chiafrø,"kr 42,50","kr 121,43 /kg"
Frukt og grønt,Linfrø,"kr 22,30","kr 63,71 /kg"
Frukt og grønt,Fiken,"kr 53,90","kr 359,33 /kg"
Frukt og grønt,Premium Ananas i biter Taco/pizzacut,"kr 28,90","kr 42,44 /kg"
Frukt og grønt,Finhakkede Tomater,"kr 64,10","kr 53,42 /kg"
Frukt og grønt,Grovhakkede Tomater,"kr 33,70","kr 84,25 /kg"
Frukt og grønt,Finhakkede Tomater,"kr 22,50","kr 56,25 /kg"
Frukt og grønt,Hele Tomater,"kr 25,80","kr 64,50 /kg"
Frukt og grønt,Cherry Tomater,"kr 41,00","kr 102,50 /kg"
Frukt og grønt,Mangoterninger,"kr 28,40","kr 94,67 /kg"
Frukt og grønt,Søtpotet Fries,"kr 39,40","kr 78,80 /kg"
Frukt og grønt,Wok Classic Big Pack,"kr 89,50","kr 105,29 /kg"
Frukt og grønt,Pommes Express,"kr 29,80","kr 66,22 /kg"
Frukt og grønt,Bringebær,"kr 51,00","kr 127,50 /kg"
Frukt og grønt,Opphøgde Potteter,"kr 38,30","kr 80,63 /kg"
Bakeri og konditori,Croissant,"kr 51,92",N/A
Bakeri og konditori,Fersk Focaccia,"kr 49,90","kr 90,73 /kg"
Bakeri og konditori,Fransk Bondebrød,"kr 50,50","kr 72,14 /kg"
Bakeri og konditori,Kanelsnurrer,"kr 79,90","kr 137,76 /kg"
Bakeri og konditori,7-kornbrød,"kr 49,90","kr 74,48 /kg"
Bakeri og konditori,Solsikkebrød,"kr 42,90","kr 69,19 /kg"
Bakeri og konditori,Horn med Ost & Skinke,"kr 49,00","kr 257,89 /kg"
Bakeri og konditori,Baguette med Reker & egg,"kr 75,00","kr 232,92 /kg"
Bakeri og konditori,Baguette med Ost & skinke,"kr 71,70","kr 309,05 /kg"
Bakeri og konditori,Grov Baguette med Ost & Skinke,"kr 69,00","kr 297,41 /kg"
Bakeri og konditori,Grov Baguette med Kylling & Currymajones,"kr 71,00","kr 229,03 /kg"
Bakeri og konditori,Grov Baguette med Roastbiff,"kr 71,00","kr 308,70 /kg"
Bakeri og konditori,Ostekake med Bringebærfyll,"kr 649,00","kr 649,00 /stk"
Bakeri og konditori,Salt Karamellkake,"kr 649,00","kr 649,00 /stk"
Bakeri og konditori,Oreokake,"kr 649,00","kr 649,00 /stk"
Bakeri og konditori,Nutellakake,"kr 649,00","kr 649,00 /stk"
Bakeri og konditori,Doughnuts Pastellmiks,"kr 169,00","kr 352,08 /kg"
Bakeri og konditori,Doughnuts Sjokolademiks,"kr 169,00","kr 375,56 /kg"
Bakeri og konditori,Døgnvill Burgerbrød,"kr 39,90","kr 110,83 /kg"
Bakeri og konditori,Døgnvill Glutenfritt Hamburgerbrød,"kr 52,90","kr 52,90 /stk"
Bakeri og konditori,Grove Hamburgerbrød,"kr 28,80","kr 68,57 /kg"
Bakeri og konditori,Chicago Hamburgerbrød,"kr 31,80","kr 66,25 /kg"
Bakeri og konditori,Brioche Hamburgerbrød,"kr 29,90","kr 83,06 /kg"
Bakeri og konditori,Økologiske Store Hamburgerbrød,"kr 36,90","kr 147,60 /kg"
Bakeri og konditori,Ida Gran-Jansen Matpakkebrød,"kr 49,90","kr 62,38 /kg"
Bakeri og konditori,Halvstekt Ekstra Grovbrød,"kr 39,90","kr 57,00 /kg"
Bakeri og konditori,Halvstekt Barnas Brød,"kr 34,90","kr 57,21 /kg"
